PMID	Abstract	ArticleTitle	PubDate	PubMonth	Author	KeyWords	MeSH	Journals	Affiliations	FundingSources	Location	Email
34276158	Three-dimensional (3D) anatomical relationships between the hepatic veins and portal structures can serve as a guide to plan resections in donor hepatectomy during living donor liver transplantation. We present the first case report from India on the use of a 3D printed liver model, as an assist to living donor liver transplantation.	The Use of a 3D Printing Model in Planning a Donor Hepatectomy for Living Donor Liver Transplantation: First in India.	2021		Raichurkar Karthik K;Lochan Rajiv;Jacob Mathew;Asthana Sonal	2D, Two-dimensional;3D printing;3D, three-dimensional;CT, computed tomography;DICOM, Digital Imaging and Communications in Medicine;GRWR, graft recipient weight ratio;HV, hepatic vein;LDLT, living donor liver transplantation;PV, portal vein;STL, stereolithographic;liver model;living donor liver transplant		Journal of clinical and experimental hepatology	Integrated Liver Care Unit, Aster CMI Hospital, New Airport Road, Bangalore, 560092, India.;Integrated Liver Care Unit, Aster CMI Hospital, New Airport Road, Bangalore, 560092, India.;Integrated Liver Care Unit, Aster CMI Hospital, New Airport Road, Bangalore, 560092, India.;Integrated Liver Care Unit, Aster CMI Hospital, New Airport Road, Bangalore, 560092, India.		New Airport Road, Bangalore, India;Integrated Liver Care Unit, Aster CMI Hospital, India	
33585711	Additive manufacturing (AM) is among the most attractive methods to produce implants, the processes are very swift and it can be precisely controlled to meet patient's requirement since they can be produced in exact shape, dimension, and even texture of different living tissues. Until now, lots of methods have emerged and used in this field with diverse characteristics. This review aims to comprehensively discuss 3D printing (3DP) technologies to manufacture metallic implants, especially on techniques and procedures. Various technologies based on their main properties are categorized, the effecting parameters are introduced, and the history of AM technology is briefly analyzed. Subsequently, the utilization of these AM-manufactured components in medicine along with their effectual variables is discussed, and special attention is paid on to the production of porous scaffolds, taking pore size, density, etc., into consideration. Finally, 3DP of the popular metallic systems in medical applications such as titanium, Ti6Al4V, cobalt-chromium alloys, and shape memory alloys are studied. In general, AM manufactured implants need to comply with important requirements such as biocompatibility, suitable mechanical properties (strength and elastic modulus), surface conditions, custom-built designs, fast production, etc. This review aims to introduce the AM technologies in implant applications and find new ways to design more sophisticated methods and compatible implants that mimic the desired tissue functions.	3D Printing Technologies in Metallic Implants: A Thematic Review on the Techniques and Procedures.	2021		Attarilar Shokouh;Ebrahimi Mahmoud;Djavanroodi Faramarz;Fu Yuanfei;Wang Liqiang;Yang Junlin	3D printing techniques;Additive manufacturing;Biometals;Implants;Porous scaffolds		International journal of bioprinting	Department of Pediatric Orthopaedics, Xinhua Hospital Affiliated to Shanghai Jiao Tong University, School of Medicine, Shanghai, China.;State Key Laboratory of Metal Matrix Composites, School of Material Science and Engineering, Shanghai Jiao Tong University, Shanghai, China.;National Engineering Research Center of Light Alloy Net Forming, School of Materials Science and Engineering, Shanghai Jiao Tong University, Shanghai, China.;Department of Mechanical Engineering, College of Engineering, Prince Mohammad Bin Fahd University, Al Khobar, KSA.;Department of Mechanical Engineering, Imperial College London, London, UK.;Ninth People's Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai 200011, China.;State Key Laboratory of Metal Matrix Composites, School of Material Science and Engineering, Shanghai Jiao Tong University, Shanghai, China.;Department of Pediatric Orthopaedics, Xinhua Hospital Affiliated to Shanghai Jiao Tong University, School of Medicine, Shanghai, China.		State Key Laboratory of Metal Matrix Composites, School of Material Science and Engineering, China;School of Medicine, Shanghai, China;Department of Mechanical Engineering, College of Engineering, China;London, UK, China;National Engineering Research Center of Light Alloy Net Forming, School of Materials Science and Engineering, China;Department of Pediatric Orthopaedics, Xinhua Hospital Affiliated to Shanghai Jiao Tong University, China;Department of Mechanical Engineering, Imperial College London, China;s Hospital, School of Medicine, China;Prince Mohammad Bin Fahd University, Al Khobar, China;Shanghai Jiao Tong University, Shanghai, China	
33501353	The field of rehabilitation and assistive devices is being disrupted by innovations in desktop 3D printers and open-source designs. For upper limb prosthetics, those technologies have demonstrated a strong potential to aid those with missing hands. However, there are basic interfacing issues that need to be addressed for long term usage. The functionality, durability, and the price need to be considered especially for those in difficult living conditions. We evaluated the most popular designs of body-powered, 3D printed prosthetic hands. We selected a representative sample and evaluated its suitability for its grasping postures, durability, and cost. The prosthetic hand can perform three grasping postures out of the 33 grasps that a human hand can do. This corresponds to grasping objects similar to a coin, a golf ball, and a credit card. Results showed that the material used in the hand and the cables can withstand a 22 N normal grasping force, which is acceptable based on standards for accessibility design. The cost model showed that a 3D printed hand could be produced for as low as $19. For the benefit of children with congenital missing limbs and for the war-wounded, the results can serve as a baseline study to advance the development of prosthetic hands that are functional yet low-cost.	Suitability of the Openly Accessible 3D Printed Prosthetic Hands for War-Wounded Children.	2020		Cabibihan John-John;Alkhatib Farah;Mudassir Mohammed;Lambert Laurent A;Al-Kwifi Osama S;Diab Khaled;Mahdi Elsadig	3D printing;assistive technologies;grasping;prosthetics;war-wounded		Frontiers in robotics and AI	Department of Mechanical and Industrial Engineering, Qatar University, Doha, Qatar.;School of Mechanical Engineering, University of Western Australia, Perth, WA, Australia.;Department of Mechanical and Industrial Engineering, Qatar University, Doha, Qatar.;School of Public Administration and Development Economics, Doha Institute for Graduate Studies, Doha, Qatar.;Department of Management and Marketing, Qatar University, Doha, Qatar.;Qatar Red Crescent Society, Doha, Qatar.;Department of Mechanical and Industrial Engineering, Qatar University, Doha, Qatar.		Qatar Red Crescent Society, Doha, Australia;Department of Mechanical and Industrial Engineering, Qatar University, Australia;School of Mechanical Engineering, University of Western Australia, Australia;Doha, Qatar, Australia;Perth, WA, Australia;Department of Management and Marketing, Qatar University, Australia;School of Public Administration and Development Economics, Doha Institute for Graduate Studies, Australia	
33376679	Bioprinting is a rapidly expanding technology with the ability to fabricate in vitro three-dimensional (3D) tissues in a layer-by-layer manner to ultimately produce a living tissue which physiologically resembles native in vivo tissue functionality. Unfortunately, large costs associated with commercially available bioprinters severely limit access to the technology. We investigated the potential for modifying a low-cost commercially available RepRap Prusa iteration 3 (i3) 3D printer with an open-source syringe-housed microextrusion print-head unit (universal paste extruder by Richard Horne, RichRap), that allowed for controlled deposition of cell-laden bioinks and Freeform Reversible Embedding of Suspended Hydrogels (FRESH) method-based printing.	Step-by-step assembly and testing of a low-cost bioprinting solution for research and educational purposes.	2021		Honiball John Robert;Pepper Michael Sean;Prinsloo Earl	Additive manufacturing;Bioprinting;Freeform reversible embedding of suspended hydrogels (FRESH);Sodium alginate		MethodsX	Biotechnology Innovation Centre, Faculty of Science, Rhodes University, Grahamstown, South Africa.;Department of Immunology, Institute for Cellular and Molecular Medicine, University of Pretoria, Pretoria, South Africa.;SAMRC Extramural Unit for Stem Cell Research and Therapy, Faculty of Health Science, University of Pretoria, Pretoria, South Africa.;Biotechnology Innovation Centre, Faculty of Science, Rhodes University, Grahamstown, South Africa.		Rhodes University, Grahamstown, South Africa;Department of Immunology, Institute for Cellular and Molecular Medicine, South Africa;University of Pretoria, Pretoria, South Africa;SAMRC Extramural Unit for Stem Cell Research and Therapy, Faculty of Health Science, South Africa;Biotechnology Innovation Centre, Faculty of Science, South Africa	
35019604	"Three-dimensional (3D) bioprinting is a highly innovative and promising technology to render precise positioning of biologics together with living cells and extracellular matrix (ECM) constituents. In spite of such enthralling potential, the fabrication of a clinically relevant engineered tissue is quite challenging. A constellation of factors simulating the complex architecture of the native tissue, selection of the ""ideal bioink"", optimization of the biochemical, mechanical, and topographical functions of the cell-laden printed construct, cellular differentiation, their self-assembly, and remodeling into the desired lineage postprinting present major complications. Keeping this in view, we have attempted to highlight the use of silk fibroin (SF) protein from Bombyx mori silkworm as a promising biomaterial of choice for the formulation of bioink owing to its distinct characteristics involving rheology behavior, self-supporting filamentous extrusion, and a suitable biomaterial to achieve resolution printing. Further, we have elaborated on how SF gelatin bioink can in specific regulate the cellular differentiation pathway of progenitor cells, the mechanism of cellular self-assembly, cell migration, matrix remodeling, and self-orientation, leading to the desired tissue-specific construct. How features of bioink and fabrication design aspects can induce in vitro tissue patterning and anatomically relevant tissue organization have also been explored in this review. Importantly, we have tried to shift the understanding of bioprinted tissue regeneration from a cell-proliferation-centric and gene-expression-centric point of view to the complex role of the microenvironment present within the bioprinted constructs. We believe that shedding light on these factors would help in achieving the so-called ""ideal 3D bioprinted construct"" to meet the shortages of high-quality donor tissues for the regeneration of the damaged and diseased ones."	Cellular Proliferation, Self-Assembly, and Modulation of Signaling Pathways in Silk Fibroin Gelatin-Based 3D Bioprinted Constructs.	2020	Dec	Chakraborty Juhi;Ghosh Sourabh	3D bioprinting;ECM;Wnt signaling;bioink;morphogenesis;remodeling;scaffold;silk fibroin		ACS applied bio materials	Department of Textile and Fibre Engineering, Indian Institute of Technology Delhi, New Delhi 110016, India.;Department of Textile and Fibre Engineering, Indian Institute of Technology Delhi, New Delhi 110016, India.		Department of Textile and Fibre Engineering, Indian Institute of Technology Delhi, India	
33325382	Additive manufacturing has shown promising results in reconstructing three-dimensional (3D) living tissues for various applications, including tissue engineering, regenerative medicine, drug discovery, and high-throughput drug screening. In extrusion-based bioprinters, stable formation of filaments and high-fidelity deposition of bioinks are the primary challenges in fabrication of physiologically relevant tissue constructs. Among various bioinks, gelatin methacryloyl (GelMA) is known as a photocurable and physicochemically tunable hydrogel with a demonstrated biocompatibility and tunable biodegradation properties. The two-step crosslinking of GelMA (reversible thermal gelation and permanent photo-crosslinking) has attracted researchers to make complex tissue constructs. Despite promising results in filament formation and printability of this hydrogel, the effect of temperature on physicochemical properties, cytocompatibility, and biodegradation of the hydrogel are to be investigated. This work studies the effect of thermoreversible, physical crosslinking on printability of GelMA. The results of 3D printing of GelMA at different temperatures followed by irreversible chemical photo-crosslinking show that the decrease in temperature improves the filament formation and shape fidelity of the deposited hydrogel, particularly at the temperatures around 15 °C. Time dependant mechanical testing of the printed samples revealed that decreasing the extruding temperature increases the elastic properties of the extruded filaments. Furthermore, our novel approach in minimizing the slippage effect during rheological study enabled to measure changes in linear and non-linear viscoelastic properties of the printed samples at different temperatures. A considerable increase in storage modulus of the extruded samples printed at lower temperatures confirms their higher solid behavior. Scanning electron microscopy revealed a remarkable decrease in porosity of the extruded hydrogels by decreasing the temperature. Chemical analysis by Fourier-transform infrared spectroscopy and circular dichroism showed a direct relationship between the coil-helix transition in hydrogel macromers and its physical alterations. Finally, biodegradation and cytocompatibility of the extruded hydrogels decreased at lower extruding temperatures.	Role of temperature on bio-printability of gelatin methacryloyl bioink in two-step cross-linking strategy for tissue engineering applications.	2020	Dec	Janmaleki Mohsen;Liu Jun;Kamkar Milad;Azarmanesh Milad;Sundararaj Uttandaraman;Nezhad Amir Sanati		Biomechanical Phenomena;Bioprinting;Cell Survival;Cells, Cultured;Computer Simulation;Cross-Linking Reagents;Gelatin;Humans;Hydrogels;Ink;Materials Testing;Methacrylates;Microscopy, Electron, Scanning;Printing, Three-Dimensional;Rheology;Temperature;Tissue Engineering;Tissue Scaffolds	Biomedical materials (Bristol, England)	BioMEMS and Bioinspired Microﬂuidic Laboratory, Biomedical Engineering Graduate Program, University of Calgary, Calgary, Canada. Medical Nanotechnology and Tissue Engineering Research Center, Shahid Beheshti University of Medical Sciences, Tehran, Iran.		University of Calgary, Calgary, Canada;Medical Nanotechnology and Tissue Engineering Research Center, Shahid Beheshti University of Medical Sciences, Canada;uidic Laboratory, Biomedical Engineering Graduate Program, Canada;Tehran, Iran, Canada	
33322291	Three-dimensional (3D) bioprinting technology has emerged as a powerful biofabrication platform for tissue engineering because of its ability to engineer living cells and biomaterial-based 3D objects. Over the last few decades, droplet-based, extrusion-based, and laser-assisted bioprinters have been developed to fulfill certain requirements in terms of resolution, cell viability, cell density, etc. Simultaneously, various bio-inks based on natural-synthetic biomaterials have been developed and applied for successful tissue regeneration. To engineer more realistic artificial tissues/organs, mixtures of bio-inks with various recipes have also been developed. Taken together, this review describes the fundamental characteristics of the existing bioprinters and bio-inks that have been currently developed, followed by their advantages and disadvantages. Finally, various tissue engineering applications using 3D bioprinting are briefly introduced.	Current Advances in 3D Bioprinting Technology and Its Applications for Tissue Engineering.	2020	Dec	Yu Junjie;Park Su A;Kim Wan Doo;Ha Taeho;Xin Yuan-Zhu;Lee Junhee;Lee Donghyun	3D bioprinter;bio-ink;natural polymer;synthetic polymer;tissue engineering		Polymers	Department of Biomedical Engineering, School of Integrative Engineering, Chung-Ang University, 221 Heukseok-Dong, Dongjak-Gu, Seoul 06974, Korea.;Department of Nature-Inspired System and Application, Korea Institute of Machinery & Materials, 156 Gajeongbuk-Ro, Yuseong-Gu, Daejeon 34103, Korea.;Department of Nature-Inspired System and Application, Korea Institute of Machinery & Materials, 156 Gajeongbuk-Ro, Yuseong-Gu, Daejeon 34103, Korea.;Department of Nature-Inspired System and Application, Korea Institute of Machinery & Materials, 156 Gajeongbuk-Ro, Yuseong-Gu, Daejeon 34103, Korea.;Department of 3D Printing, Korea Institute of Machinery & Materials, 156 Gajeongbuk-Ro, Yuseong-Gu, Daejeon 34103, Korea.;Department of Engineering Mechanics, School of Mechanical and Aerospace Engineering, Jilin University, No. 5988, Renmin Street, Changchun 130025, China.;Department of Nature-Inspired System and Application, Korea Institute of Machinery & Materials, 156 Gajeongbuk-Ro, Yuseong-Gu, Daejeon 34103, Korea.;Department of Biomedical Engineering, School of Integrative Engineering, Chung-Ang University, 221 Heukseok-Dong, Dongjak-Gu, Seoul 06974, Korea.	Ministry of Science and ICT, South Korea	Department of Engineering Mechanics, School of Mechanical and Aerospace Engineering, China;Renmin Street, Changchun, China;Ro, Yuseong, China;Materials, , China;Dong, Dongjak, China;Ang University, , China;Gu, Daejeon, China;Inspired System and Application, Korea Institute of Machinery, China;Gu, Seoul, China;Jilin University, No, China;D Printing, Korea Institute of Machinery, China;Department of Biomedical Engineering, School of Integrative Engineering, China	
33313504	The pipeline of antibiotics has been for decades on an alarmingly low level. Considering the steadily emerging antibiotic resistance, novel tools are needed for early and easy identification of effective anti-infective compounds. In Gram-negative bacteria, the uptake of anti-infectives is especially limited. We here present a surprisingly simple in vitro model of the Gram-negative bacterial envelope, based on 20% (w/v) potato starch gel, printed on polycarbonate 96-well filter membranes. Rapid permeability measurements across this polysaccharide hydrogel allowed to correctly predict either high or low accumulation for all 16 tested anti-infectives in living Escherichia coli. Freeze-fracture TEM supports that the macromolecular network structure of the starch hydrogel may represent a useful surrogate of the Gram-negative bacterial envelope. A random forest analysis of in vitro data revealed molecular mass, minimum projection area, and rigidity as the most critical physicochemical parameters for hydrogel permeability, in agreement with reported structural features needed for uptake into Gram-negative bacteria. Correlating our dataset of 27 antibiotics from different structural classes to reported MIC values of nine clinically relevant pathogens allowed to distinguish active from nonactive compounds based on their low in vitro permeability specifically for Gram-negatives. The model may help to identify poorly permeable antimicrobial candidates before testing them on living bacteria.	A hydrogel-based in vitro assay for the fast prediction of antibiotic accumulation in Gram-negative bacteria.	2020	Sep	Richter Robert;Kamal Mohamed A M;García-Rivera Mariel A;Kaspar Jerome;Junk Maximilian;Elgaher Walid A M;Srikakulam Sanjay Kumar;Gress Alexander;Beckmann Anja;Grißmer Alexander;Meier Carola;Vielhaber Michael;Kalinina Olga;Hirsch Anna K H;Hartmann Rolf W;Brönstrup Mark;Schneider-Daum Nicole;Lehr Claus-Michael	3D-printing;Antibiotic screening;Machine learning;Starch hydrogel;Structure–permeability relationships		Materials today. Bio	Helmholtz Institute for Pharmaceutical Research Saarland (HIPS) - Helmholtz Centre for Infection Research (HZI), 66123 Saarbrücken, Germany.;Department of Pharmacy, Saarland University, 66123 Saarbrücken, Germany.;Helmholtz Institute for Pharmaceutical Research Saarland (HIPS) - Helmholtz Centre for Infection Research (HZI), 66123 Saarbrücken, Germany.;Department of Chemical Biology, Helmholtz Centre for Infection Research (HZI), 38124 Braunschweig, Germany.;Institute of Engineering Design, Saarland University, 66123 Saarbrücken, Germany.;Institute of Engineering Design, Saarland University, 66123 Saarbrücken, Germany.;Helmholtz Institute for Pharmaceutical Research Saarland (HIPS) - Helmholtz Centre for Infection Research (HZI), 66123 Saarbrücken, Germany.;Helmholtz Institute for Pharmaceutical Research Saarland (HIPS) - Helmholtz Centre for Infection Research (HZI), 66123 Saarbrücken, Germany.;Helmholtz Institute for Pharmaceutical Research Saarland (HIPS) - Helmholtz Centre for Infection Research (HZI), 66123 Saarbrücken, Germany.;Department of Anatomy and Cell Biology, Saarland University, 66421 Homburg, Germany.;Department of Anatomy and Cell Biology, Saarland University, 66421 Homburg, Germany.;Department of Anatomy and Cell Biology, Saarland University, 66421 Homburg, Germany.;Institute of Engineering Design, Saarland University, 66123 Saarbrücken, Germany.;Helmholtz Institute for Pharmaceutical Research Saarland (HIPS) - Helmholtz Centre for Infection Research (HZI), 66123 Saarbrücken, Germany.;Medical Faculty, Saarland University, 66421 Homburg, Germany.;Helmholtz Institute for Pharmaceutical Research Saarland (HIPS) - Helmholtz Centre for Infection Research (HZI), 66123 Saarbrücken, Germany.;Department of Pharmacy, Saarland University, 66123 Saarbrücken, Germany.;Helmholtz Institute for Pharmaceutical Research Saarland (HIPS) - Helmholtz Centre for Infection Research (HZI), 66123 Saarbrücken, Germany.;Department of Chemical Biology, Helmholtz Centre for Infection Research (HZI), 38124 Braunschweig, Germany.;German Centre for Infection Research (DZIF), 38124 Braunschweig, Germany.;Helmholtz Institute for Pharmaceutical Research Saarland (HIPS) - Helmholtz Centre for Infection Research (HZI), 66123 Saarbrücken, Germany.;Helmholtz Institute for Pharmaceutical Research Saarland (HIPS) - Helmholtz Centre for Infection Research (HZI), 66123 Saarbrücken, Germany.;Department of Pharmacy, Saarland University, 66123 Saarbrücken, Germany.		cken, Germany, Germany;Medical Faculty, Saarland University, Germany;Institute of Engineering Design, Saarland University, Germany;Department of Chemical Biology, Helmholtz Centre for Infection Research, Germany;Homburg, Germany, Germany;Braunschweig, Germany, Germany;Department of Anatomy and Cell Biology, Saarland University, Germany;Department of Pharmacy, Saarland University, Germany	
33301844	Local delivery of drugs, proteins and living cells with on demand release manner using porous scaffolds has been widely used in the field of tissue engineering and cancer therapies. Drugs directly loaded in the porous scaffolds, are generally prone to free diffuse especially for long term incubation. Herein, in this study, hollow fiber alginate/iron oxide nanoparticles scaffolds were prepared by coaxial 3D printing with drugs, protein or living cells encapsulating in the core part (low concentration of alginate gels). Magnetically-driven on demand release was realized by extruding the loaded drugs, proteins and cells from the core part of the hollow fibers due to the deformation of the scaffolds under magnetic field. Additionally, the hollow fibers could sever as diffusion barriers to reduce uncontrolled diffusion of drugs, proteins and cells from scaffolds in the conditions of no required stimulation. The factors influencing the deformation of the scaffolds, as well as the release behavior were investigated. The data indicated that the scaffolds prepared by 10 wt% of alginate with 13% of iron oxide nanoparticles after crosslinking using 0.1 M CaCl2 solution for 10 s showed repeated on demand release capability in vitro and in vivo under intermittently magnetic stimulation. Thus, this 3D printed alginate/iron oxide nanoparticles hollow scaffolds with on demand controlled delivery capability may prove useful for tissue engineering and disease therapies.	Magnetically-driven drug and cell on demand release system using 3D printed alginate based hollow fiber scaffolds.	2021	Jan	Wang Zhiyong;Liu Chunyang;Chen Birui;Luo Yongxiang	3D printing;Hollow fiber scaffolds;Magnetically-driven delivery;On-demand release	Alginates;Animals;China;Doxorubicin;Drug Delivery Systems;Drug Liberation;Gels;Magnetic Iron Oxide Nanoparticles;Mice;Porosity;Printing, Three-Dimensional;Tissue Engineering;Tissue Scaffolds	International journal of biological macromolecules	Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging, School of Biomedical Engineering, Health Science Center, Shenzhen University, Shenzhen 518060, China.;Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging, School of Biomedical Engineering, Health Science Center, Shenzhen University, Shenzhen 518060, China.;Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging, School of Biomedical Engineering, Health Science Center, Shenzhen University, Shenzhen 518060, China.;Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging, School of Biomedical Engineering, Health Science Center, Shenzhen University, Shenzhen 518060, China. Electronic address: luoyongxiang@szu.edu.cn.		Health Science Center, Shenzhen University, China;Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging, School of Biomedical Engineering, China	luoyongxiang@szu.edu.cn
33285324	Living cells are highly scalable biological actuators found in nature, and they are efficient technological solutions to actuate robotic systems. Recent advancements in biofabrication and tissue engineering have bridged the gap to interface muscle cells with artificial technology. In this review, we summarize the recent progress in engineering the attributes of individual components for the development of fully functional biohybrid robots. First, we address the fabrication of biological actuators for biohybrid robots with muscle cells and tissues, including cardiomyocytes, skeletal muscles, insect tissues, and neuromuscular tissues, in well-organized pattern of 2D sheets and 3D constructs. Next, we discuss the performance of biohybrid robots for various biomimetic tasks such as swimming, walking, gripping, and pumping. Finally, the challenges and future directions in the development of biohybrid robots are described from different viewpoints of living material engineering, multiscale modeling, 3D printing for manufacturing, and multifunctional robotic system development.	Recent progress in engineering functional biohybrid robots actuated by living cells.	2021	Feb	Gao Lin;Akhtar M Usman;Yang Fan;Ahmad Shahzad;He Jiankang;Lian Qin;Cheng Wei;Zhang Jinhua;Li Dichen	Biohybrid robots;Biomimetics;Cardiomyocytes;Fabrication;Skeletal muscles	Biomimetics;Muscle, Skeletal;Printing, Three-Dimensional;Robotics;Tissue Engineering	Acta biomaterialia	Department of Mechanical Engineering, Xian Jiaotong University, 28 Xianning West Road, Xian Shaanxi 710049, China; State Key Lab for Manufacturing Systems Engineering, Xian Jiaotong University, Xian Shaanxi 710049, China. Electronic address: gaolin2013@xjtu.edu.cn.;Department of Mechanical Engineering, Xian Jiaotong University, 28 Xianning West Road, Xian Shaanxi 710049, China.;Department of Mechanical Engineering, Xian Jiaotong University, 28 Xianning West Road, Xian Shaanxi 710049, China; State Key Lab for Manufacturing Systems Engineering, Xian Jiaotong University, Xian Shaanxi 710049, China.;Department of Mechanical Engineering, Xian Jiaotong University, 28 Xianning West Road, Xian Shaanxi 710049, China.;Department of Mechanical Engineering, Xian Jiaotong University, 28 Xianning West Road, Xian Shaanxi 710049, China; State Key Lab for Manufacturing Systems Engineering, Xian Jiaotong University, Xian Shaanxi 710049, China.;Department of Mechanical Engineering, Xian Jiaotong University, 28 Xianning West Road, Xian Shaanxi 710049, China; State Key Lab for Manufacturing Systems Engineering, Xian Jiaotong University, Xian Shaanxi 710049, China.;Department of Mechanical Engineering, Xian Jiaotong University, 28 Xianning West Road, Xian Shaanxi 710049, China; State Key Lab for Manufacturing Systems Engineering, Xian Jiaotong University, Xian Shaanxi 710049, China.;Department of Mechanical Engineering, Xian Jiaotong University, 28 Xianning West Road, Xian Shaanxi 710049, China; State Key Lab for Manufacturing Systems Engineering, Xian Jiaotong University, Xian Shaanxi 710049, China.;Department of Mechanical Engineering, Xian Jiaotong University, 28 Xianning West Road, Xian Shaanxi 710049, China; State Key Lab for Manufacturing Systems Engineering, Xian Jiaotong University, Xian Shaanxi 710049, China.		Xianning West Road, Xian Shaanxi, China;Department of Mechanical Engineering, Xian Jiaotong University, China;State Key Lab for Manufacturing Systems Engineering, Xian Jiaotong University, China	gaolin2013@xjtu.edu.cn
